Date,Like,View
23/04/2025,1009,32500
23/04/2025,831,31600
23/04/2025,1195,29300
23/04/2025,4457,100000
23/04/2025,1138,34700
23/04/2025,2007,30000
23/04/2025,2137,61300
23/04/2025,7985,281000
22/04/2025,1942,51600
21/04/2025,2130,104000
21/04/2025,4199,144000
20/04/2025,1184,51400
20/04/2025,997,43300
20/04/2025,7834,344000
20/04/2025,3124,150000
20/04/2025,2663,142000
20/04/2025,2680,149000
20/04/2025,1577,57600
20/04/2025,1736,67800
20/04/2025,3715,140000
20/04/2025,5182,146000
20/04/2025,3402,101000
20/04/2025,2042,64600
20/04/2025,1554,52600
20/04/2025,1803,59000
20/04/2025,2029,54700
20/04/2025,1344,42700
19/04/2025,1204,33700
19/04/2025,5466,241000
17/04/2025,1406,41900
16/04/2025,1357,40400
15/04/2025,16000,605000
15/04/2025,872,46200
15/04/2025,752,27700
14/04/2025,1312,46700
14/04/2025,2371,68400
13/04/2025,1764,74500
13/04/2025,1100,49000
13/04/2025,5409,201000
12/04/2025,1758,75500
12/04/2025,7492,435000
12/04/2025,1959,69200
12/04/2025,1961,62400
12/04/2025,1777,80000
12/04/2025,1468,62100
12/04/2025,2078,96500
12/04/2025,1225,51600
12/04/2025,1180,36400
12/04/2025,1826,49100
12/04/2025,1397,47200
12/04/2025,1466,84800
12/04/2025,1143,38300
12/04/2025,1343,74800
08/04/2025,1659,45200
06/04/2025,1745,66100
05/04/2025,1925,157000
04/04/2025,3717,165000
03/04/2025,2418,85400
02/04/2025,2819,130000
01/04/2025,1148,55900
01/04/2025,2611,208000
31/03/2025,1977,73300
31/03/2025,2288,194000
30/03/2025,2454,64900
30/03/2025,1204,38900
30/03/2025,3943,182000
30/03/2025,2926,52500
30/03/2025,2183,48600
29/03/2025,5480,273000
29/03/2025,1007,42000
28/03/2025,1177,47200
27/03/2025,1669,121000
27/03/2025,1337,52600
26/03/2025,1969,75500
26/03/2025,858,39400
25/03/2025,2347,107000
25/03/2025,1021,42800
24/03/2025,1278,54100
24/03/2025,2127,96000
23/03/2025,2908,85600
23/03/2025,3144,106000
23/03/2025,5714,320000
23/03/2025,1461,103000
22/03/2025,2062,99100
22/03/2025,1920,91300
22/03/2025,1720,114000
22/03/2025,1382,66600
22/03/2025,4251,190000
22/03/2025,3523,126000
22/03/2025,2048,80700
22/03/2025,2819,93000
22/03/2025,1490,50600
22/03/2025,2054,85200
22/03/2025,1897,69900
22/03/2025,2110,124000
22/03/2025,2081,60000
22/03/2025,1165,40800
21/03/2025,7354,437000
21/03/2025,1645,50200
21/03/2025,9539,519000
20/03/2025,2095,104000
19/03/2025,2138,84800
19/03/2025,1005,43200
18/03/2025,7498,230000
18/03/2025,1593,79200
18/03/2025,1338,50300
17/03/2025,1332,56700
17/03/2025,4973,264000
16/03/2025,1147,57000
16/03/2025,6916,706000
16/03/2025,6183,255000
15/03/2025,4698,256000
15/03/2025,3615,142000
15/03/2025,1994,97800
15/03/2025,6189,248000
15/03/2025,2175,96700
15/03/2025,1671,69000
15/03/2025,3530,114000
15/03/2025,1699,93100
15/03/2025,3390,111000
15/03/2025,1994,95100
15/03/2025,2073,105000
15/03/2025,3847,123000
15/03/2025,3238,145000
15/03/2025,1988,61300
15/03/2025,949,32500
14/03/2025,6370,248000
13/03/2025,999,34300
13/03/2025,2569,128000
12/03/2025,1949,66300
12/03/2025,3015,148000
11/03/2025,7693,300000
11/03/2025,2362,104000
11/03/2025,1117,52300
10/03/2025,2954,101000
10/03/2025,2141,66100
09/03/2025,5931,230000
09/03/2025,1213,51700
09/03/2025,7558,299000
08/03/2025,2456,114000
08/03/2025,5067,205000
08/03/2025,2984,134000
08/03/2025,2512,139000
08/03/2025,1385,62300
08/03/2025,2842,154000
08/03/2025,1565,63800
08/03/2025,1709,76700
08/03/2025,5993,358000
08/03/2025,3711,121000
08/03/2025,3195,116000
08/03/2025,5082,159000
08/03/2025,1830,67400
08/03/2025,1741,59600
08/03/2025,2425,183000
08/03/2025,901,25500
08/03/2025,2570,144000
07/03/2025,7238,300000
07/03/2025,1315,43900
07/03/2025,1291,60900
06/03/2025,1325,63200
06/03/2025,1876,62400
05/03/2025,1190,41700
05/03/2025,3919,180000
04/03/2025,7034,234000
04/03/2025,4315,256000
04/03/2025,1052,45700
03/03/2025,2061,71100
03/03/2025,1655,65700
02/03/2025,7215,364000
02/03/2025,3093,115000
02/03/2025,8721,444000
01/03/2025,2955,164000
01/03/2025,9839,677000
01/03/2025,8196,341000
01/03/2025,1614,92100
01/03/2025,2222,90300
01/03/2025,2782,102000
01/03/2025,3377,128000
01/03/2025,3273,108000
01/03/2025,2984,102000
01/03/2025,1280,56400
01/03/2025,5257,250000
01/03/2025,1533,67100
01/03/2025,1890,65000
01/03/2025,3017,115000
01/03/2025,2060,77300
01/03/2025,1298,40400
