Date,Like,View
24/04/2025,93000,1900000
24/04/2025,21500,628000
24/04/2025,20600,700000
24/04/2025,20500,1100000
24/04/2025,36700,862000
24/04/2025,15200,430000
24/04/2025,18800,530000
24/04/2025,14600,400000
24/04/2025,18100,437000
22/04/2025,71600,2100000
19/04/2025,13600,394000
18/04/2025,53200,1900000
18/04/2025,29200,830000
18/04/2025,30400,825000
18/04/2025,46800,1200000
18/04/2025,49600,1900000
18/04/2025,30400,810000
18/04/2025,24000,840000
18/04/2025,34400,883000
18/04/2025,44100,1200000
17/04/2025,73500,2300000
14/04/2025,19900,623000
12/04/2025,12200,448000
11/04/2025,18200,511000
10/04/2025,91000,2600000
10/04/2025,26900,829000
10/04/2025,23600,697000
10/04/2025,17600,570000
10/04/2025,30900,910000
10/04/2025,25500,591000
10/04/2025,18800,477000
10/04/2025,26300,703000
10/04/2025,35700,809000
10/04/2025,38500,919000
09/04/2025,16800,410000
08/04/2025,85900,1800000
07/04/2025,111000,2400000
07/04/2025,13000,379000
06/04/2025,16400,496000
02/04/2025,18100,713000
01/04/2025,21300,705000
27/03/2025,84400,2600000
27/03/2025,51200,1200000
27/03/2025,18900,694000
27/03/2025,30200,804000
27/03/2025,34300,1000000
27/03/2025,24000,773000
27/03/2025,18900,740000
27/03/2025,21700,585000
27/03/2025,63500,1700000
27/03/2025,30300,1100000
26/03/2025,14900,480000
25/03/2025,37100,1100000
24/03/2025,66100,2400000
24/03/2025,12900,538000
22/03/2025,14700,765000
22/03/2025,71500,2300000
20/03/2025,65500,1900000
20/03/2025,64600,2000000
20/03/2025,36800,1400000
20/03/2025,21400,849000
20/03/2025,30600,934000
20/03/2025,48000,1200000
20/03/2025,24400,732000
20/03/2025,36300,867000
20/03/2025,37600,1100000
20/03/2025,321000,819000
18/03/2025,12700,417000
17/03/2025,110000,4000000
17/03/2025,15300,442000
17/03/2025,18100,700000
16/03/2025,28700,1100000
13/03/2025,81500,2700000
13/03/2025,60000,1300000
13/03/2025,37700,944000
13/03/2025,23800,782000
13/03/2025,27100,861000
13/03/2025,21400,728000
13/03/2025,30100,804000
13/03/2025,24500,771000
13/03/2025,28800,767000
13/03/2025,11400,316000
13/03/2025,55000,1300000
13/03/2025,33200,867000
12/03/2025,20500,572000
11/03/2025,25700,798000
11/03/2025,22100,1000000
10/03/2025,80700,3000000
10/03/2025,23400,649000
09/03/2025,19000,593000
08/03/2025,17300,606000
07/03/2025,10100,316000
07/03/2025,22700,745000
06/03/2025,55300,1900000
06/03/2025,24900,741000
06/03/2025,23800,810000
06/03/2025,28900,1100000
06/03/2025,19200,636000
06/03/2025,20200,621000
06/03/2025,14900,524000
06/03/2025,48200,1300000
06/03/2025,31200,958000
06/03/2025,11500,308000
06/03/2025,36600,898000
05/03/2025,21400,573000
05/03/2025,20000,569000
04/03/2025,12200,430000
03/03/2025,82000,3200000
02/03/2025,10600,391000
01/03/2025,13400,488000
