Date,Like,View
24/04/2025,82634,3800000
23/04/2025,14200,1200000
23/04/2025,24600,1700000
22/04/2025,65200,3000000
20/04/2025,25200,2200000
19/04/2025,28000,2000000
19/04/2025,66800,5200000
19/04/2025,39800,2800000
19/04/2025,35600,2100000
19/04/2025,42200,3000000
19/04/2025,27000,1900000
19/04/2025,46400,4100000
19/04/2025,28500,1500000
19/04/2025,25600,2100000
19/04/2025,26800,1500000
18/04/2025,36100,1300000
16/04/2025,9135,583000
16/04/2025,34600,2000000
15/04/2025,27100,2300000
14/04/2025,104000,5400000
13/04/2025,24600,1300000
13/04/2025,47700,2600000
12/04/2025,16400,1100000
12/04/2025,38500,2600000
12/04/2025,119000,6200000
11/04/2025,45400,3300000
11/04/2025,24200,2300000
11/04/2025,46500,3200000
11/04/2025,51400,4200000
11/04/2025,21300,1600000
11/04/2025,23200,1800000
11/04/2025,21800,1200000
11/04/2025,15100,1000000
11/04/2025,17300,1300000
09/04/2025,39700,3400000
09/04/2025,10900,829000
08/04/2025,14100,888000
08/04/2025,21100,1100000
07/04/2025,104000,5200000
07/04/2025,15100,2100000
06/04/2025,27900,1500000
06/04/2025,38500,1900000
05/04/2025,52700,3200000
04/04/2025,116000,7600000
04/04/2025,79800,3100000
04/04/2025,110000,6200000
04/04/2025,35100,1700000
04/04/2025,25700,1500000
04/04/2025,24800,1800000
04/04/2025,14700,1200000
04/04/2025,21300,1300000
04/04/2025,27600,1600000
04/04/2025,29400,1300000
03/04/2025,176000,7200000
02/04/2025,31800,2300000
02/04/2025,33300,1300000
01/04/2025,10600,760000
31/03/2025,81100,5100000
29/03/2025,15100,1300000
29/03/2025,92500,6700000
28/03/2025,22100,2000000
28/03/2025,33900,2100000
28/03/2025,29200,1600000
28/03/2025,32100,1900000
28/03/2025,14100,1300000
28/03/2025,22400,1100000
28/03/2025,23400,1900000
28/03/2025,18700,1000000
28/03/2025,16700,1200000
26/03/2025,10300,757000
25/03/2025,18600,1900000
24/03/2025,73300,5200000
24/03/2025,21100,1300000
24/03/2025,26000,2300000
22/03/2025,10700,876000
22/03/2025,101000,6700000
21/03/2025,16300,2100000
21/03/2025,25500,1700000
21/03/2025,17900,1900000
21/03/2025,13400,1000000
21/03/2025,37400,2800000
21/03/2025,18900,1300000
21/03/2025,13800,1000000
21/03/2025,18000,1100000
18/03/2025,72900,3200000
18/03/2025,12200,1500000
18/03/2025,14600,949000
17/03/2025,16200,1800000
16/03/2025,4327,428000
15/03/2025,12800,984000
15/03/2025,82900,5900000
14/03/2025,19900,2300000
14/03/2025,54900,2900000
14/03/2025,13300,1100000
14/03/2025,41800,2600000
14/03/2025,21600,1300000
14/03/2025,23200,1400000
14/03/2025,17400,1200000
14/03/2025,21100,1500000
14/03/2025,11700,847000
11/03/2025,9088,1100000
11/03/2025,22700,2300000
10/03/2025,91500,6100000
10/03/2025,24100,2000000
10/03/2025,10600,741000
09/03/2025,9817,746000
08/03/2025,103000,5600000
07/03/2025,17800,1600000
07/03/2025,28800,2000000
07/03/2025,28700,2100000
07/03/2025,21500,1800000
07/03/2025,56000,3300000
07/03/2025,17900,876000
07/03/2025,23400,1200000
07/03/2025,22500,1300000
04/03/2025,68500,2900000
04/03/2025,41200,2600000
04/03/2025,19400,2000000
03/03/2025,10500,484000
03/03/2025,25300,1500000
02/03/2025,11000,1100000
02/03/2025,25800,2500000
01/03/2025,9421,1000000
01/03/2025,9652,670000
01/03/2025,104000,6000000
28/02/2025,34500,2200000
28/02/2025,15400,1200000
28/02/2025,25600,1500000
28/02/2025,15000,1400000
