Date,Like,View
25/04/2024,4102,83500
25/04/2024,8060,165000
24/04/2024,18472,474000
24/04/2024,96723,2800000
24/04/2024,41433,1200000
24/04/2024,26823,1000000
24/04/2024,54567,1100000
24/04/2024,50490,1100000
24/04/2024,30529,892000
24/04/2024,27994,831000
24/04/2024,13317,423000
23/04/2024,12469,409000
22/04/2024,13096,518000
21/04/2024,22001,563000
21/04/2024,19109,563000
21/04/2024,11820,416000
21/04/2024,10369,302000
20/04/2024,21332,689000
20/04/2024,16156,381000
20/04/2024,16263,596000
19/04/2024,13828,371000
19/04/2024,13828,351000
19/04/2024,10299,281000
19/04/2024,193668,4900000
18/04/2024,43296,860000
18/04/2024,8859,339000
18/04/2024,21202,458000
17/04/2024,10227,427000
16/04/2024,283354,5700000
17/04/2024,38392,1300000
17/04/2024,108590,2800000
17/04/2024,45192,1300000
17/04/2024,33102,975000
17/04/2024,64906,1800000
17/04/2024,9300,320000
17/04/2024,9960,281000
17/04/2024,7551,243000
17/04/2024,9482,380000
16/04/2024,13666,422000
15/04/2024,16199,488000
15/04/2024,16564,423000
15/04/2024,12403,304000
14/04/2024,16705,480000
14/04/2024,8465,257000
14/04/2024,8534,305000
14/04/2024,14267,325000
13/04/2024,34155,1100000
13/04/2024,9330,287000
13/04/2024,8660,259000
12/04/2024,23757,554000
12/04/2024,16861,374000
12/04/2025,8397,258000
11/04/2025,143540,4200000
11/04/2025,10897,368000
11/04/2025,21738,618000
11/04/2025,18103,538000
10/04/2025,18640,483000
10/04/2025,18791,472000
10/04/2025,89403,2200000
09/04/2025,71389,1800000
09/04/2025,36783,1300000
09/04/2025,140138,3400000
09/04/2025,22626,844000
09/04/2025,50181,1100000
09/04/2025,45522,1100000
09/04/2025,11766,408000
09/04/2025,7701,296000
09/04/2025,7341,259000
09/04/2025,10572,375000
09/04/2025,15425,768000
08/04/2025,10986,383000
08/04/2025,13667,383000
08/04/2025,9479,289000
07/04/2025,13541,387000
07/04/2025,15771,399000
06/04/2025,16354,558000
06/04/2025,20244,613000
05/04/2025,17282,559000
05/04/2025,35655,1200000
04/04/2025,17272,523000
04/04/2025,140004,3400000
04/04/2025,15949,594000
03/04/2025,15063,536000
02/04/2025,9797,566000
02/04/2025,25386,874000
01/04/2025,9800,521000
01/04/2025,13045,686000
31/03/2025,137417,4500000
31/03/2025,16016,842000
31/03/2025,18777,749000
30/03/2025,14104,916000
30/03/2025,18051,688000
29/03/2025,34628,982000
29/03/2025,18624,661000
28/03/2025,10095,557000
28/03/2025,11925,636000
28/03/2025,17228,624000
27/03/2025,17473,877000
27/03/2025,9110,482000
27/03/2025,62653,1600000
26/03/2025,35379,1400000
26/03/2025,23164,1100000
26/03/2025,36584,1300000
26/03/2025,49495,1700000
26/03/2025,33620,1000000
26/03/2025,12324,555000
26/03/2025,11943,482000
26/03/2025,7172,315000
26/03/2025,6808,298000
26/03/2025,15700,478000
25/03/2025,184079,4700000
25/03/2025,9093,415000
25/03/2025,9302,358000
25/03/2025,22213,657000
25/03/2025,8118,334000
24/03/2025,94151,2200000
24/03/2025,17496,578000
22/03/2025,15634,768000
22/03/2025,6852,294000
22/03/2025,6867,281000
21/03/2025,103464,2800000
21/03/2025,8792,422000
21/03/2025,9449,390000
21/03/2025,17662,544000
21/03/2025,11286,363000
21/03/2025,9062,450000
20/03/2025,15996,517000
20/03/2025,15073,608000
19/03/2025,48777,1900000
19/03/2025,32116,1100000
19/03/2025,31100,1000000
19/03/2025,34981,1000000
19/03/2025,57751,1500000
19/03/2025,45809,1600000
19/03/2025,83487,333000
19/03/2025,7600,279000
19/03/2025,6312,221000
19/03/2025,5757,220000
19/03/2025,17737,414000
19/03/2025,7940,300000
18/03/2025,8999,351000
18/03/2025,21027,855000
17/03/2025,11496,339000
17/03/2025,7344,273000
17/03/2025,79136,1900000
17/03/2025,13251,524000
17/03/2025,9535,373000
16/03/2025,23949,550000
16/03/2025,23800,694000
16/03/2025,5501,257000
15/03/2025,14209,401000
15/03/2025,6852,337000
15/03/2025,18268,838000
14/03/2025,10505,549000
14/03/2025,11469,344000
13/03/2025,84722,2300000
13/03/2025,14199,392000
13/03/2025,13719,540000
13/03/2025,7830,389000
13/03/2025,10811,446000
12/03/2025,21504,1100000
12/03/2025,14811,749000
12/03/2025,38676,1300000
12/03/2025,17890,774000
12/03/2025,18732,892000
12/03/2025,36300,1300000
12/03/2025,7255,347000
12/03/2025,7061,265000
12/03/2025,4828,203000
12/03/2025,7503,244000
12/03/2025,8863,266000
11/03/2025,11117,462000
11/03/2025,9402,363000
11/03/2025,34124,954000
11/03/2025,7069,300000
10/03/2025,75334,2100000
10/03/2025,9092,372000
10/03/2025,31837,909000
10/03/2025,13520,397000
10/03/2025,7231,240000
09/03/2025,14808,492000
09/03/2025,6511,270000
09/03/2025,9084,278000
09/03/2025,4746,175000
08/03/2025,7830,289000
08/03/2025,6371,278000
08/03/2025,17781,468000
08/03/2025,23015,599000
07/03/2025,89997,3300000
07/03/2025,5702,311000
07/03/2025,5668,267000
07/03/2025,44217,1100000
07/03/2025,5611,226000
06/03/2025,25020,755000
06/03/2025,17186,703000
06/03/2025,12582,458000
05/03/2025,32799,1200000
05/03/2025,36080,1200000
05/03/2025,47368,1600000
05/03/2025,38250,1100000
05/03/2025,15670,595000
05/03/2025,7698,375000
05/03/2025,9065,334000
05/03/2025,5610,252000
05/03/2025,4531,208000
04/03/2025,7112,265000
04/03/2025,7497,280000
04/03/2025,5560,229000
04/03/2025,19335,517000
04/03/2025,8482,351000
03/03/2025,79785,2300000
03/03/2025,7148,289000
03/03/2025,7122,219000
03/03/2025,56085,1400000
03/03/2025,5775,232000
02/03/2025,5443,293000
02/03/2025,9094,353000
02/03/2025,19984,601000
02/03/2025,9174,277000
01/03/2025,22127,772000
01/03/2025,30178,975000
01/03/2025,6006,245000
