Date,Like,View
25/04/2025,9116,392000
24/04/2025,173000,3400000
24/04/2025,38800,1700000
24/04/2025,122000,3300000
23/04/2025,50600,1000000
22/04/2025,43000,1400000
22/04/2025,66400,1500000
22/04/2025,38700,1300000
22/04/2025,39800,1100000
22/04/2025,203000,5200000
22/04/2025,131000,3600000
22/04/2025,71000,2700000
22/04/2025,52100,2000000
22/04/2025,63500,2400000
22/04/2025,123000,3000000
22/04/2025,82700,2900000
22/04/2025,62100,1700000
22/04/2025,72700,2000000
22/04/2025,61200,1400000
22/04/2025,92600,2500000
21/04/2025,24900,803000
21/04/2025,70400,2500000
21/04/2025,24400,561000
21/04/2025,27700,616000
21/04/2025,244000,4300000
21/04/2025,18200,512000
21/04/2025,25100,952000
21/04/2025,33700,832000
21/04/2025,136000,2700000
20/04/2025,43400,1100000
20/04/2025,42200,1000000
20/04/2025,29500,811000
20/04/2025,30000,952000
19/04/2025,69400,2700000
19/04/2025,30500,1000000
19/04/2025,38600,1100000
18/04/2025,40200,984000
18/04/2025,37200,1000000
18/04/2025,38500,1000000
17/04/2025,193000,4400000
17/04/2025,45600,1700000
17/04/2025,20600,804000
17/04/2025,34400,922000
17/04/2025,32200,1000000
16/04/2025,25300,848000
16/04/2025,28800,893000
16/04/2025,42200,1200000
16/04/2025,51400,1100000
15/04/2025,31500,1000000
15/04/2025,108000,2000000
15/04/2025,65800,2500000
15/04/2025,42100,1400000
14/04/2025,180000,4600000
14/04/2025,145000,3900000
14/04/2025,217000,4100000
14/04/2025,87700,2200000
14/04/2025,57100,1600000
14/04/2025,42900,1500000
14/04/2025,68100,2000000
14/04/2025,67400,2400000
14/04/2025,89600,1800000
14/04/2025,87100,1900000
14/04/2025,28900,815000
14/04/2025,23100,622000
14/04/2025,26000,628000
14/04/2025,30800,769000
14/04/2025,27800,1000000
14/04/2025,69200,1200000
14/04/2025,217000,3100000
13/04/2025,31900,993000
13/04/2025,32400,775000
13/04/2025,48200,1200000
13/04/2025,44400,1500000
12/04/2025,38800,1100000
12/04/2025,37700,1800000
12/04/2025,28400,765000
11/04/2025,270000,5000000
11/04/2025,54300,1400000
11/04/2025,50400,1700000
11/04/2025,41900,1000000
11/04/2025,35300,973000
10/04/2025,37600,1200000
10/04/2025,154000,3700000
10/04/2025,47700,1400000
10/04/2025,51700,1300000
09/04/2025,52100,2400000
09/04/2025,26600,1000000
09/04/2025,27600,1000000
08/04/2025,387000,7000000
08/04/2025,34200,2200000
08/04/2025,57400,2500000
08/04/2025,40200,1400000
08/04/2025,54700,1900000
07/04/2025,251000,7200000
07/04/2025,58400,2200000
07/04/2025,107000,3000000
07/04/2025,65000,2700000
07/04/2025,55700,2000000
07/04/2025,104000,2800000
07/04/2025,54600,2000000
07/04/2025,64500,1900000
07/04/2025,66400,1600000
07/04/2025,56100,1700000
07/04/2025,25800,871000
07/04/2025,24800,704000
07/04/2025,29300,715000
07/04/2025,22200,611000
07/04/2025,33700,1000000
07/04/2025,83200,2100000
07/04/2025,29300,806000
07/04/2025,156300,2800000
06/04/2025,33600,989000
06/04/2025,36200,1000000
06/04/2025,20000,818000
05/04/2025,32600,921000
05/04/2025,58100,1400000
05/04/2025,26800,892000
04/04/2025,34500,1000000
04/04/2025,42200,1000000
03/04/2025,229000,4900000
03/04/2025,47400,1800000
03/04/2025,19400,734000
03/04/2025,78600,2900000
03/04/2025,29700,1000000
02/04/2025,29100,953000
02/04/2025,17300,894000
02/04/2025,33400,1300000
01/04/2025,46700,1500000
01/04/2025,31800,1600000
01/04/2025,23700,992000
31/03/2025,23900,1000000
31/03/2025,41200,1300000
31/03/2025,42500,1400000
30/03/2025,49700,1400000
30/03/2025,32200,1100000
29/03/2025,37900,1400000
29/03/2025,20900,778000
28/03/2025,225000,5800000
28/03/2025,29100,1400000
28/03/2025,54100,2000000
28/03/2025,20100,711000
28/03/2025,46000,1200000
27/03/2025,38000,1300000
27/03/2025,92100,3000000
26/03/2025,46800,1600000
26/03/2025,48100,1400000
26/03/2025,50800,1600000
25/03/2025,65500,2300000
25/03/2025,44300,1800000
25/03/2025,46100,1600000
25/03/2025,82800,3500000
24/03/2025,205000,5800000
24/03/2025,54700,2100000
24/03/2025,74100,2800000
24/03/2025,79900,2900000
24/03/2025,59700,1800000
24/03/2025,81500,2300000
24/03/2025,69600,2000000
24/03/2025,64300,1900000
24/03/2025,29500,934000
24/03/2025,35800,944000
24/03/2025,32500,1000000
24/03/2025,44000,1100000
24/03/2025,158000,3000000
23/03/2025,44500,1500000
22/03/2025,38400,1200000
22/03/2025,37900,1200000
22/03/2025,42600,1100000
22/03/2025,28700,1000000
21/03/2025,46900,1500000
21/03/2025,21000,786000
21/03/2025,81000,2100000
20/03/2025,179000,4200000
20/03/2025,35800,1500000
20/03/2025,30400,1000000
20/03/2025,29100,1200000
20/03/2025,49600,1500000
19/03/2025,25400,989000
19/03/2025,17700,688000
19/03/2025,50000,1300000
18/03/2025,49300,1300000
18/03/2025,36700,1400000
18/03/2025,40800,1500000
18/03/2025,42300,1300000
18/03/2025,157000,4800000
18/03/2025,114000,3500000
17/03/2025,82800,2600000
17/03/2025,69300,2400000
17/03/2025,70700,2300000
17/03/2025,140000,3900000
17/03/2025,35800,1400000
17/03/2025,59100,1600000
17/03/2025,140000,4700000
17/03/2025,68900,1800000
17/03/2025,18700,702000
17/03/2025,30600,733000
17/03/2025,22000,602000
17/03/2025,19700,541000
17/03/2025,32800,1300000
17/03/2025,38400,888000
17/03/2025,167000,2800000
16/03/2025,53700,1600000
16/03/2025,24600,852000
16/03/2025,26000,687000
16/03/2025,22500,986000
15/03/2025,40200,1200000
15/03/2025,16900,584000
15/03/2025,43100,1200000
15/03/2025,54300,1300000
14/03/2025,51600,1300000
14/03/2025,28200,817000
14/03/2025,24600,717000
13/03/2025,174000,4400000
13/03/2025,34500,1400000
13/03/2025,26700,900000
13/03/2025,27500,912000
13/03/2025,23100,907000
12/03/2025,16200,620000
12/03/2025,26900,917000
12/03/2025,27500,782000
11/03/2025,40500,1400000
11/03/2025,22200,836000
11/03/2025,41200,1600000
11/03/2025,38700,1200000
11/03/2025,164000,4800000
10/03/2025,137000,2900000
10/03/2025,58500,2500000
10/03/2025,64400,1800000
10/03/2025,67700,2000000
10/03/2025,56700,1600000
10/03/2025,62900,1600000
10/03/2025,56200,1800000
10/03/2025,32100,1000000
10/03/2025,53900,1500000
10/03/2025,28000,861000
10/03/2025,21600,563000
10/03/2025,22100,610000
10/03/2025,16700,455000
10/03/2025,22300,737000
10/03/2025,27500,669000
10/03/2025,140000,2500000
09/03/2025,26500,1000000
09/03/2025,17300,677000
09/03/2025,25600,818000
09/03/2025,17400,753000
08/03/2025,40200,1100000
08/03/2025,33700,1300000
08/03/2025,20800,670000
08/03/2025,49500,1100000
07/03/2025,25300,875000
07/03/2025,63400,1800000
07/03/2025,29200,865000
07/03/2025,14700,453000
06/03/2025,181000,3900000
06/03/2025,36500,1400000
06/03/2025,29200,966000
06/03/2025,41100,1100000
06/03/2025,26100,1000000
06/03/2025,16000,684000
06/03/2025,18700,657000
05/03/2025,18700,686000
05/03/2025,29500,789000
05/03/2025,28700,731000
05/03/2025,32300,962000
04/03/2025,46200,1300000
04/03/2025,27000,717000
04/03/2025,37700,1000000
04/03/2025,36600,1100000
04/03/2025,152000,4400000
04/03/2025,81700,2600000
03/03/2025,57700,2200000
03/03/2025,75600,2000000
03/03/2025,56100,1700000
03/03/2025,76600,2200000
03/03/2025,42700,1400000
03/03/2025,54600,1400000
03/03/2025,79200,2000000
03/03/2025,17900,624000
03/03/2025,22500,550000
03/03/2025,23900,642000
03/03/2025,17700,537000
03/03/2025,53600,1400000
03/03/2025,15500,594000
03/03/2025,23500,648000
03/03/2025,116000,2300000
02/03/2025,43200,1200000
02/03/2025,19700,625000
02/03/2025,26300,826000
01/03/2025,37900,1000000
01/03/2025,17800,618000
01/03/2025,26300,931000
01/03/2025,19200,559000
