Date,Like,View
23/04/2025,8586,232000
18/04/2025,10100,806000
15/04/2025,3750,456000
13/04/2025,16800,1100000
13/04/2025,3604,339000
13/04/2025,6574,628000
13/04/2025,7524,481000
13/04/2025,4403,314000
13/04/2025,9707,874000
13/04/2025,5784,390000
13/04/2025,7135,680000
13/04/2025,8749,817000
10/04/2025,6980,286000
04/04/2025,7394,685000
29/03/2025,4133,588000
28/03/2025,3742,407000
27/03/2025,3808,368000
26/03/2025,4170,331000
24/03/2025,14900,677000
23/03/2025,7861,65700
23/03/2025,8276,803000
23/03/2025,4552,430000
23/03/2025,28400,676000
23/03/2025,2589,249000
23/03/2025,5230,458000
23/03/2025,3998,305000
23/03/2025,5111,290000
22/03/2025,7655,846000
20/03/2025,19300,1300000
20/03/2025,5423,496000
18/03/2025,3413,283000
16/03/2025,21900,1000000
16/03/2025,6443,671000
16/03/2025,4811,532000
16/03/2025,4276,355000
16/03/2025,3765,311000
16/03/2025,4521,358000
16/03/2025,8825,752000
16/03/2025,4560,319000
16/03/2025,9698,752000
15/03/2025,2086,141000
13/03/2025,4016,361000
12/03/2025,35900,1200000
10/03/2025,4215,508000
09/03/2025,20100,1500000
09/03/2025,4959,528000
09/03/2025,6112,661000
09/03/2025,4288,454000
09/03/2025,2528,292000
09/03/2025,18900,3000000
09/03/2025,9501,768000
09/03/2025,17200,662000
09/03/2025,2865,260000
09/03/2025,4249,250000
09/03/2025,5160,257000
08/03/2025,3995,354000
08/03/2025,2304,109000
06/03/2025,16700,776000
06/03/2025,12700,1500000
06/03/2025,6501,479000
06/03/2025,7883,508000
02/03/2025,16600,1100000
02/03/2025,4335,564000
02/03/2025,5678,488000
02/03/2025,4565,419000
02/03/2025,6207,529000
02/03/2025,17400,422000
02/03/2025,3989,304000
02/03/2025,3462,262000
02/03/2025,8234,711000
02/03/2025,5289,371000
