Date,Like,View
24/04/2025,684,31600
24/04/2025,2807,141800
21/04/2025,7524,388400
20/04/2025,14100,584900
19/04/2025,2859,108500
17/04/2025,7075,335600
13/04/2025,1456,94500
13/04/2025,8834,572600
13/04/2025,5017,242300
11/04/2025,2964,112900
11/04/2025,15900,902400
09/04/2025,3673,192600
09/04/2025,866,48000
09/04/2025,19300,791800
04/04/2025,11300,422200
03/04/2025,6623,438400
29/03/2025,2295,96200
28/03/2025,41000,1400000
28/03/2025,5324,196700
26/03/2025,7131,311000
25/03/2025,959,37100
24/03/2025,1235,48900
23/03/2025,2441,97600
22/03/2025,754,40800
21/03/2025,5914,219900
21/03/2025,986,57500
20/03/2025,2940,250900
20/03/2025,1431,96600
17/03/2025,1116,48000
17/03/2025,1716,89400
15/03/2025,868,44800
14/03/2025,14900,528700
13/03/2025,3516,172300
12/03/2025,27200,763500
10/03/2025,9791,452400
10/03/2025,2750,153500
07/03/2025,94100,2400000
06/03/2025,1137,78900
05/03/2025,1794,127500
03/03/2025,1817,91700
01/03/2025,736,49900
