Date,Like,View
23/04/2025,1599,49800
21/04/2025,8403,440000
21/04/2025,9155,218800
20/04/2025,672,36000
20/04/2025,1699,55700
20/04/2025,7294,166600
20/04/2025,8478,230800
19/04/2025,2373,89700
16/04/2025,2560,82400
15/04/2025,247,13600
14/04/2025,1240,54100
14/04/2025,3582,93900
13/04/2025,3373,99500
13/04/2025,504,27000
13/04/2025,4109,161400
12/04/2025,1039,44900
12/04/2025,524,28200
12/04/2025,1166,36300
08/04/2025,1361,36600
04/04/2025,1322,71900
03/04/2025,2626,82500
02/04/2025,2007,73300
29/03/2025,2643,129900
28/03/2025,649,31800
27/03/2025,982,44200
26/03/2025,1436,49100
26/03/2025,914,29100
25/03/2025,1190,42300
25/03/2025,2476,64800
24/03/2025,1095,49200
24/03/2025,6942,675600
23/03/2025,6220,169200
23/03/2025,8479,280800
23/03/2025,1614,96400
23/03/2025,1296,58100
22/03/2025,1484,75300
22/03/2025,2252,89500
21/03/2025,941,30300
21/03/2025,10200,345900
19/03/2025,596,35400
18/03/2025,1296,73000
17/03/2025,813,46600
17/03/2025,3235,166800
16/03/2025,266,18900
16/03/2025,3865,266500
16/03/2025,1439,77800
15/03/2025,1582,63200
15/03/2025,2917,126900
15/03/2025,4056,168800
13/03/2025,787,35700
12/03/2025,3733,98500
11/03/2025,5990,212200
11/03/2025,1403,65300
09/03/2025,8640,263900
09/03/2025,1071,76900
09/03/2025,2962,134300
08/03/2025,2449,110200
08/03/2025,7971,392400
08/03/2025,2363,87200
07/03/2025,6498,255600
07/03/2025,490,30900
05/03/2025,946,62000
04/03/2025,8439,453500
04/03/2025,1266,96200
03/03/2025,8975,261000
02/03/2025,18300,647000
01/03/2025,2833,197900
01/03/2025,961,47800
01/03/2025,21100,570000
