Date,Like,View
24/04/2025,25100,556800
22/04/2025,36100,842000
18/04/2025,26500,725400
17/04/2025,48000,996100
14/04/2025,1674,57900
11/04/2025,855,36900
10/04/2025,30400,906800
09/04/2025,391,29600
08/04/2025,12200,327800
07/04/2025,54500,1000000
07/04/2025,2718,95700
06/04/2025,3272,97800
02/04/2025,5058,209000
01/04/2025,1931,50300
28/03/2025,53400,1300000
26/03/2025,523,56700
25/03/2025,37700,1000000
24/03/2025,40500,1200000
22/03/2025,5339,280000
22/03/2025,2276,52400
20/03/2025,21900,560100
18/03/2025,7553,389800
17/03/2025,14000,355900
17/03/2025,352,29800
16/03/2025,35800,923600
13/03/2025,38900,948000
13/03/2025,4635,140200
13/03/2025,5849,81500
12/03/2025,714,40300
11/03/2025,23200,544500
11/03/2025,378,28400
10/03/2025,30000,847600
09/03/2025,10900,342700
08/03/2025,2844,69800
07/03/2025,2137,78200
07/03/2025,3775,65700
06/03/2025,36000,869000
06/03/2025,2467,61200
05/03/2025,4770,108900
05/03/2025,6457,127800
04/03/2025,4619,208700
04/03/2025,2470,53800
02/03/2025,587,29200
01/03/2025,1301,57500
01/03/2025,2022,45400
