Date,Like,View
24/04/2025,66400,1900000
22/04/2025,343,33300
20/04/2025,7807,307400
19/04/2025,28800,1200000
19/04/2025,7754,351200
19/04/2025,79700,2800000
19/04/2025,13800,583400
18/04/2025,8818,266700
11/04/2025,17000,507200
11/04/2025,45100,2900000
11/04/2025,7754,368200
11/04/2025,16900,671400
11/04/2025,548,67100
09/04/2025,12200,743000
08/04/2025,4847,202000
08/04/2025,4130,151200
07/04/2025,75700,2400000
07/04/2025,4196,333600
06/04/2025,8486,286700
06/04/2025,11300,309400
05/04/2025,26300,926600
04/04/2025,19000,474200
04/04/2025,19900,854500
04/04/2025,5815,250500
04/04/2025,21500,721100
04/04/2025,17400,1100000
03/04/2025,124700,3100000
29/03/2025,2570,241400
29/03/2025,64600,2400000
28/03/2025,88700,3200000
28/03/2025,7751,320700
28/03/2025,12000,365200
28/03/2025,14800,466600
28/03/2025,14000,524700
28/03/2025,22000,1300000
26/03/2025,11800,330300
25/03/2025,7729,470500
24/03/2025,49500,1700000
24/03/2025,2145,109600
24/03/2025,19000,1100000
22/03/2025,17300,809600
22/03/2025,1124,79800
21/03/2025,23400,757200
21/03/2025,24600,917200
21/03/2025,5027,255700
21/03/2025,15000,542300
18/03/2025,58900,1900000
18/03/2025,2471,204300
18/03/2025,3230,114300
16/03/2025,741,61000
15/03/2025,44300,2100000
11/03/2025,4617,243100
10/03/2025,49300,1700000
10/03/2025,20100,825300
09/03/2025,2557,134900
08/03/2025,56900,1900000
07/03/2025,6911,351400
07/03/2025,52200,2200000
07/03/2025,65500,2000000
07/03/2025,53700,1700000
07/03/2025,35300,1000000
07/03/2025,17100,747200
07/03/2025,82600,2400000
07/03/2025,60800,2400000
04/03/2025,75200,2800000
04/03/2025,28200,951100
01/03/2025,9563,494700
01/03/2025,3066,180200
01/03/2025,107800,5000000
