Date,Like,View
24/04/2025,5077,129000
24/04/2025,2935,78600
24/04/2025,8491,194900
24/04/2025,4689,103700
24/04/2025,10900,309300
24/04/2025,4423,83500
24/04/2025,2879,65200
24/04/2025,4597,112300
24/04/2025,4719,149100
24/04/2025,3113,93700
24/04/2025,2547,68000
24/04/2025,2167,55800
24/04/2025,2618,74900
24/04/2025,5805,113600
24/04/2025,1691,49700
24/04/2025,16700,565100
24/04/2025,915,32600
24/04/2025,9689,406700
24/04/2025,2139,44200
24/04/2025,18500,333900
19/04/2025,17300,321600
17/04/2025,6191,228400
17/04/2025,2450,94500
17/04/2025,2707,79900
17/04/2025,2642,71800
17/04/2025,2747,66000
17/04/2025,3743,77000
17/04/2025,19300,304400
16/04/2025,5815,149300
16/04/2025,10100,246400
16/04/2025,2022,62800
11/04/2025,19600,470600
10/04/2025,11800,367600
10/04/2025,11300,267100
09/04/2025,19400,627000
09/04/2025,28200,944100
09/04/2025,17400,437000
09/04/2025,3141,107200
09/04/2025,12800,319700
09/04/2025,8817,472300
09/04/2025,2892,93200
09/04/2025,2290,92700
09/04/2025,2995,74500
09/04/2025,8920,221600
09/04/2025,19600,767900
09/04/2025,9384,306900
09/04/2025,9766,228800
04/04/2025,14100,346300
31/03/2025,147500,4000000
31/03/2025,20900,605500
26/03/2025,95000,2600000
26/03/2025,37500,1100000
26/03/2025,12900,373000
26/03/2025,186000,5300000
26/03/2025,69700,2500000
26/03/2025,11400,2973000
25/03/2025,242000,5400000
21/03/2025,31500,931200
19/03/2025,56200,1700000
19/03/2025,47100,1600000
19/03/2025,13600,343500
19/03/2025,50500,1100000
19/03/2025,24700,653100
19/03/2025,145000,4100000
19/03/2025,27100,1100000
17/03/2025,88600,2200000
14/03/2025,48100,1400000
14/03/2025,55000,1500000
13/03/2025,77300,3200000
13/03/2025,28900,833300
13/03/2025,31000,1200000
13/03/2025,105800,5200000
12/03/2025,77300,2500000
12/03/2025,179300,5200000
12/03/2025,17400,466500
12/03/2025,51400,1700000
12/03/2025,13900,376000
12/03/2025,23300,500600
10/03/2025,83100,2500000
10/03/2025,129700,3200000
07/03/2025,14700,592300
07/03/2025,47700,1300000
06/03/2025,257700,9400000
05/03/2025,198800,7600000
05/03/2025,294100,10400000
05/03/2025,13400,439100
05/03/2025,24000,630200
05/03/2025,17600,707800
05/03/2025,39100,1200000
03/03/2025,74300,1700000
03/03/2025,11500,370600
