Date,Like,View
23/04/2025,1700,49000
15/04/2025,3092,201400
10/04/2025,2231,92700
04/04/2025,877,38400
02/04/2025,91700,3400000
29/03/2025,2099,176600
28/03/2025,2381,151000
27/03/2025,1014,67800
26/03/2025,1939,115000
24/03/2025,29500,741900
22/03/2025,9823,604100
20/03/2025,8894,301000
20/03/2025,5947,331700
18/03/2025,1100,72800
16/03/2025,11500,391400
15/03/2025,595,43600
13/03/2025,3288,219200
12/03/2025,15900,614500
10/03/2025,6726,498500
09/03/2025,67200,2700000
08/03/2025,362,35400
06/03/2025,41900,1100000
06/03/2025,27900,1400000
06/03/2025,151,29700
02/03/2025,536,42600
02/03/2025,12700,459200
